Frequency (Hz)	Level (dB)
5092.602539	-127.965279
5103.369141	-128.946808
5114.135742	-128.297806
5124.902344	-127.867935
5135.668945	-128.479126
5146.435547	-128.833725
5157.202148	-128.012192
5167.968750	-129.811752
5178.735352	-129.569260
5189.501953	-128.791809
5200.268555	-129.400009
5211.035156	-129.647766
5221.801758	-130.172791
5232.568359	-129.999146
5243.334961	-129.906723
5254.101562	-129.620743
5264.868164	-129.724518
5275.634766	-128.572769
5286.401367	-128.482422
5297.167969	-129.455872
5307.934570	-128.292374
5318.701172	-128.606049
5329.467773	-129.162567
5340.234375	-127.460587
5351.000977	-127.746552
5361.767578	-127.987267
5372.534180	-126.193382
5383.300781	-127.248322
5394.067383	-129.275879
5404.833984	-128.182983
5415.600586	-128.485153
5426.367188	-128.619980
5437.133789	-129.305695
5447.900391	-129.471039
5458.666992	-127.071709
5469.433594	-126.018929
5480.200195	-128.521149
5490.966797	-128.627151
5501.733398	-127.676315
5512.500000	-128.866852
5523.266602	-127.582512
5534.033203	-126.272209
5544.799805	-127.941925
5555.566406	-129.926025
5566.333008	-129.837326
5577.099609	-129.532532
5587.866211	-129.914276
5598.632812	-129.605820
5609.399414	-129.882645
5620.166016	-129.144165
5630.932617	-128.546295
5641.699219	-130.377808
5652.465820	-129.154602
5663.232422	-128.920151
5673.999023	-129.484726
5684.765625	-127.749191
5695.532227	-129.350677
5706.298828	-131.697357
5717.065430	-129.125931
5727.832031	-129.212341
5738.598633	-129.141647
5749.365234	-128.340424
5760.131836	-128.207794
5770.898438	-128.270905
5781.665039	-128.674011
5792.431641	-129.670013
5803.198242	-130.002274
5813.964844	-128.877975
5824.731445	-129.433685
5835.498047	-129.224518
5846.264648	-128.598434
5857.031250	-130.746506
5867.797852	-130.567322
5878.564453	-128.980911
5889.331055	-128.966507
5900.097656	-128.231949
5910.864258	-128.206955
5921.630859	-129.376648
5932.397461	-128.874741
5943.164062	-129.079605
5953.930664	-129.404083
5964.697266	-128.406403
5975.463867	-128.504074
5986.230469	-129.393860
5996.997070	-129.232254
6007.763672	-129.731979
6018.530273	-129.239594
6029.296875	-128.161606
6040.063477	-128.556351
6050.830078	-129.053207
6061.596680	-127.625092
6072.363281	-128.739319
6083.129883	-129.729004
6093.896484	-126.901810
6104.663086	-128.186630
6115.429688	-129.665070
6126.196289	-130.049255
6136.962891	-130.194870
6147.729492	-129.754333
6158.496094	-129.675659
6169.262695	-129.314651
6180.029297	-128.848373
6190.795898	-129.002243
6201.562500	-130.481705
6212.329102	-129.454742
6223.095703	-129.260086
6233.862305	-129.019455
6244.628906	-128.332321
6255.395508	-129.002670
6266.162109	-129.940613
6276.928711	-128.186707
6287.695312	-128.222137
6298.461914	-130.057785
6309.228516	-128.931168
6319.995117	-128.441467
6330.761719	-129.800156
6341.528320	-129.474182
6352.294922	-130.576263
6363.061523	-129.280258
6373.828125	-128.061920
6384.594727	-128.824738
6395.361328	-128.895660
6406.127930	-128.650284
6416.894531	-129.134171
6427.661133	-129.073547
6438.427734	-129.246201
6449.194336	-129.827301
6459.960938	-128.686371
6470.727539	-129.441681
6481.494141	-130.267654
6492.260742	-128.517471
6503.027344	-127.657402
6513.793945	-129.635162
6524.560547	-127.927383
6535.327148	-128.444153
6546.093750	-129.797195
6556.860352	-129.243378
6567.626953	-130.055420
6578.393555	-130.191299
6589.160156	-128.749344
6599.926758	-128.788803
6610.693359	-129.022156
6621.459961	-128.227722
6632.226562	-128.237289
6642.993164	-129.406357
6653.759766	-127.969429
6664.526367	-128.600220
6675.292969	-129.747131
6686.059570	-128.910843
6696.826172	-129.356720
6707.592773	-129.617691
6718.359375	-127.952515
6729.125977	-128.771500
6739.892578	-128.769775
6750.659180	-128.586548
6761.425781	-129.929428
6772.192383	-129.494293
6782.958984	-127.664795
6793.725586	-128.485779
